,상품명,구매자 이름,구매자 평점,리뷰 제목,리뷰 내용, 
0,"LG 2022 울트라 PC 15, 화이트, 15U50P-GR5SK, 코어i5 11세대, 256GB, 8GB, WIN11 Home",정*희,5,등록된 헤드라인이 없습니다,등록된 리뷰내용이 없습니다,
1,"LG 2022 울트라 PC 15, 화이트, 15UD40Q-GX50K, AMD, 256GB, 8GB, Free DOS",신*헌,5,등록된 헤드라인이 없습니다,등록된 리뷰내용이 없습니다,학습용
2,"LG전자 2022 울트라PC 15.6, 화이트, 15U50P, 코어i3, 256GB, 8GB, WIN11 Home",윤*기,4,등록된 헤드라인이 없습니다,등록된 리뷰내용이 없습니다,
3,"LG 2022 울트라 PC 15, 화이트, 15UD40Q-GX50K, AMD, 256GB, 8GB, Free DOS",황*덕,5,등록된 헤드라인이 없습니다,등록된 리뷰내용이 없습니다,
4,"LG전자 2022 울트라PC 15.6, 화이트, 15U50P, 코어i3, 256GB, 8GB, WIN11 Home",정*주,5,등록된 헤드라인이 없습니다,등록된 리뷰내용이 없습니다,
5,"LG 2022 울트라 PC 15, 화이트, 15UD40Q-GX50K, AMD, 256GB, 8GB, Free DOS",이*구,5,등록된 헤드라인이 없습니다,등록된 리뷰내용이 없습니다,
6,"LG전자 2022 울트라PC 15.6, 화이트, 15U50P, 코어i3, 256GB, 8GB, WIN11 Home",홍*미,5,등록된 헤드라인이 없습니다,등록된 리뷰내용이 없습니다,
7,"LG전자 2022 울트라PC 15.6, 화이트, 15U50P, 코어i3, 256GB, 8GB, WIN11 Home",문*영,5,등록된 헤드라인이 없습니다,등록된 리뷰내용이 없습니다,
8,"LG 2022 울트라 PC 15, 화이트, 15U50P-GR5SK, 코어i5 11세대, 256GB, 8GB, WIN11 Home",고*국,5,등록된 헤드라인이 없습니다,등록된 리뷰내용이 없습니다,
9,"LG전자 2022 울트라PC 15.6, 화이트, 15U50P, 코어i3, 256GB, 8GB, WIN11 Home",김*자,5,등록된 헤드라인이 없습니다,등록된 리뷰내용이 없습니다,
10,"LG 2022 울트라 PC 15, 화이트, 15U50P-GR5SK, 코어i5 11세대, 256GB, 8GB, WIN11 Home",김*관,5,등록된 헤드라인이 없습니다,등록된 리뷰내용이 없습니다,
11,"LG전자 2022 울트라PC 15.6, 화이트, 15U50P, 코어i3, 256GB, 8GB, WIN11 Home",나*봉,5,등록된 헤드라인이 없습니다,등록된 리뷰내용이 없습니다,기타 용도
12,"LG 2022 울트라 PC 15, 화이트, 15U50P-GR5SK, 코어i5 11세대, 256GB, 8GB, WIN11 Home",정*영,5,등록된 헤드라인이 없습니다,등록된 리뷰내용이 없습니다,
13,"LG전자 2022 울트라PC, 화이트, 15U50P-KR5SK, 코어i5 11세대, 512GB, 8GB, WIN11 Home",도*태,5,등록된 헤드라인이 없습니다,등록된 리뷰내용이 없습니다,사무용
14,"LG전자 2022 울트라PC 15.6, 화이트, 15U50P, 코어i3, 256GB, 8GB, WIN11 Home",서*훈,4,등록된 헤드라인이 없습니다,등록된 리뷰내용이 없습니다,학습용
15,"LG 2022 울트라 PC 15, 화이트, 15UD40Q-GX50K, AMD, 256GB, 8GB, Free DOS",권*남,4,등록된 헤드라인이 없습니다,등록된 리뷰내용이 없습니다,
16,"LG전자 2022 울트라PC 15.6, 화이트, 15U50P, 코어i3, 256GB, 8GB, WIN11 Home",나*희,5,등록된 헤드라인이 없습니다,등록된 리뷰내용이 없습니다,
17,"LG 2022 울트라 PC 15, 화이트, 15U50P-GR5SK, 코어i5 11세대, 256GB, 8GB, WIN11 Home",황*옥,5,등록된 헤드라인이 없습니다,등록된 리뷰내용이 없습니다,
18,"LG 2022 울트라 PC 15, 화이트, 15U50P-GR5SK, 코어i5 11세대, 256GB, 8GB, WIN11 Home",오리무중,5,등록된 헤드라인이 없습니다,등록된 리뷰내용이 없습니다,
19,"LG 2022 울트라 PC 15, 화이트, 15U50P-GR5SK, 코어i5 11세대, 256GB, 8GB, WIN11 Home",신*하,5,등록된 헤드라인이 없습니다,등록된 리뷰내용이 없습니다,
20,"LG전자 2022 울트라PC 15.6, 화이트, 15U50P, 코어i3, 256GB, 8GB, WIN11 Home",손*나,3,등록된 헤드라인이 없습니다,등록된 리뷰내용이 없습니다,학습용
21,"LG 2022 울트라 PC 15, 화이트, 15U50P-GR5SK, 코어i5 11세대, 256GB, 8GB, WIN11 Home",서*록,5,등록된 헤드라인이 없습니다,등록된 리뷰내용이 없습니다,
22,"LG 2022 울트라 PC 15, 화이트, 15UD40Q-GX50K, AMD, 256GB, 8GB, Free DOS",김*식,5,등록된 헤드라인이 없습니다,등록된 리뷰내용이 없습니다,학습용
23,"LG 2022 울트라 PC 15, 화이트, 15UD40Q-GX50K, AMD, 256GB, 8GB, Free DOS",서*준,5,등록된 헤드라인이 없습니다,등록된 리뷰내용이 없습니다,
